dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,pred_cnt
17,1,0,1,1,1,0,2,0.175833,0.5375,0.194017,117,883,1000,1541.91572222222
22,1,0,1,0,6,0,1,0.0591304,0.4,0.17197,93,888,981,1353.59655555555
23,1,0,1,0,0,0,1,0.0965217,0.436522,0.2466,150,836,986,1368.40988888889
29,1,0,1,0,6,0,1,0.196522,0.651739,0.145365,123,975,1098,1365.29216666667
30,1,0,1,0,0,0,1,0.216522,0.722174,0.0739826,140,956,1096,1443.71227777778
12,1,0,2,0,6,0,1,0.2225,0.544167,0.203367,288,1184,1472,1716.61177777778
19,1,0,2,0,6,0,1,0.399167,0.600802439707709,0.228576798519874,532,1103,1635,2133.05888888889
21,1,0,2,1,1,0,2,0.303333,0.605,0.307846,195,912,1107,1682.01794444444
22,1,0,2,0,2,1,1,0.182222,0.577778,0.195683,74,1376,1450,1659.81983333333
07,1,0,3,0,1,1,1,0.261739,0.551304,0.341352,244,1628,1872,2034.04422222222
11,1,0,3,0,5,1,2,0.316522,0.649565,0.23297,247,1730,1977,2157.77605555556
17,1,0,3,0,4,1,1,0.415,0.602917,0.209579,424,2320,2744,2867.22944444444
20,1,0,3,0,0,0,1,0.3325,0.47375,0.207721,1047,1424,2471,2503.32472222222
21,2,0,3,0,1,1,2,0.430435,0.737391,0.288783,401,1676,2077,2573.10472222222
23,2,0,3,0,3,1,2,0.346957,0.839565,0.234261,203,1918,2121,2271.12566666667
25,2,0,3,0,5,1,1,0.264167,0.495,0.230725,300,1910,2210,2346.04366666667
28,2,0,3,0,1,1,1,0.264348,0.302174,0.212204,222,1806,2028,2380.34822222222
31,2,0,3,0,4,1,3,0.268333,0.918333,0.217646,179,1506,1685,2120.64616666667
03,2,0,4,0,0,0,1,0.378333,0.48,0.182213,1651,1598,3249,3282.61933333333
08,2,0,4,0,5,1,2,0.335833,0.83625,0.226992,172,1299,1471,2042.08672222222
16,2,0,4,0,6,0,3,0.430833,0.888333,0.340808,121,674,795,1716.15577777778
03,2,0,5,0,2,1,2,0.616667,0.697083,0.342667,603,3848,4451,4387.70088888889
15,2,0,5,0,0,0,2,0.5625,0.867083,0.152979,1582,2971,4553,4541.19972222222
17,2,0,5,0,2,1,2,0.561667,0.837917,0.277354,678,3445,4123,4288.60094444444
20,2,0,5,0,5,1,1,0.536667,0.719583,0.125013,909,4008,4917,4639.499
21,2,0,5,0,6,0,1,0.6025,0.626667,0.12065,2258,3547,5805,5103.09616666667
22,2,0,5,0,0,0,1,0.604167,0.749583,0.148008,1576,3084,4660,4536.82327777778
25,2,0,5,0,3,1,1,0.660833,0.69625,0.154233,740,4238,4978,4821.23972222222
09,2,0,6,0,4,1,2,0.808333,0.568333,0.149883,563,3352,3915,4135.35716666667
10,2,0,6,0,5,1,1,0.755,0.605,0.140554,815,3771,4586,4658.02111111111
17,2,0,6,0,5,1,1,0.649167,0.735833,0.143029,863,3981,4844,4724.20503174603
21,3,0,6,0,2,1,2,0.680833,0.770417,0.171025,774,4061,4835,4638.80233333333
25,3,0,6,0,6,0,1,0.695,0.483333,0.209571,1782,3420,5202,5030.47194444445
02,3,0,7,0,6,0,1,0.738333,0.444583,0.115062,2204,2915,5119,4824.7985
11,3,0,7,0,1,1,1,0.7625,0.635833,0.282337,723,3363,4086,4315.34497222222
23,3,0,7,0,6,0,1,0.849167,0.5,0.131221,987,2298,3285,3873.00644444445
27,3,0,7,0,3,1,1,0.775,0.402917,0.183463,755,3901,4656,4647.39495238095
29,3,0,7,0,5,1,1,0.838333,0.5425,0.174138,670,3176,3846,4195.45088888889
02,3,0,8,0,2,1,1,0.783333,0.49125,0.20585,801,4044,4845,4790.49816666667
03,3,0,8,0,3,1,2,0.731667,0.6575,0.135583,467,3107,3574,3894.07288888889
04,3,0,8,0,4,1,2,0.71,0.7575,0.19715,799,3777,4576,4602.47062698413
06,3,0,8,0,6,0,2,0.716667,0.755,0.22825,1521,2773,4294,4411.34108333333
10,3,0,8,0,3,1,1,0.766667,0.424167,0.200258,884,3896,4780,4781.72491666667
20,3,0,8,0,6,0,1,0.6975,0.674167,0.104467,1914,3277,5191,4811.90927777778
28,3,0,8,0,0,0,1,0.707059,0.561765,0.304659,1415,2919,4334,4490.91888888889
04,3,0,9,0,0,0,1,0.709167,0.742083,0.206467,1572.24729135578,2419,4940,4400.43211111111
05,3,0,9,1,1,0,2,0.673333,0.790417,0.212696,1236,2115,3351,3891.159
08,3,0,9,0,4,1,3,0.633913,0.939565,0.192748,153,1689,1842,2470.26166666667
11,3,0,9,0,0,0,1,0.653333,0.71375,0.115054,1633,3413,5046,4906.828
13,3,0,9,0,2,1,1,0.650833,0.7125,0.141804,701,4062,4763,4693.41652380952
16,3,0,9,0,5,1,2,0.469167,0.590417,0.164183,742,4018,4760,4648.38838095238
19,3,0,9,0,1,1,2,0.549167,0.69,0.151742,691,3848,4539,4534.09677777778
24,4,0,9,0,6,0,2,0.606667,0.8625,0.0783833,1776,3647,5423,5027.35916666667
27,4,0,9,0,2,1,2,0.636667,0.885417,0.118171,477,3643,4120,4136.83888888889
04,4,0,10,0,2,1,1,0.484167,0.71,0.205854,486,3970,4456,4403.32372222222
10,4,0,10,1,1,0,1,0.570833,0.73375,0.0423042,1514,3603,5117,4983.20144444444
11,4,0,10,0,2,1,2,0.566667,0.80875,0.143042,667,3896,4563,4551.95722222222
15,4,0,10,0,6,0,1,0.506667,0.483333,0.258083,1899,3318,5217,4975.43222222222
23,4,0,10,0,0,0,1,0.421667,0.74125,0.0995125,1619,2762,4381,4241.08261111111
01,4,0,11,0,2,1,1,0.400833,0.68375,0.135571,410,3658,4068,4093.79133333333
05,4,0,11,0,6,0,1,0.326667,0.519167,0.189062,1156,2770,3926,3937.5345
08,4,0,11,0,2,1,1,0.408333,0.721667,0.0690375,376,3829,4205,4187.65961111111
16,4,0,11,0,3,1,3,0.456667,0.93,0.136829,145,1672,1817,2436.9145
24,4,0,11,1,4,0,1,0.373333,0.549167,0.167304,560,935,1495,2500.44211111111
25,4,0,11,0,5,1,1,0.375,0.64375,0.0988958,1095,1697,2792,3225.33427777778
26,4,0,11,0,6,0,1,0.375833,0.681667,0.0684208,1249,1819,3068,3108.35761111111
30,4,0,11,0,3,1,1,0.325,0.613333,0.271158,188,3425,3613,3776.76558730159
07,4,0,12,0,3,1,3,0.41,0.970417,0.266175,50,655,705,1536.15077777778
09,4,0,12,0,5,1,1,0.290833,0.695833,0.0827167,261,3359,3620,3709.69153174603
19,4,0,12,0,1,1,1,0.276667,0.6375,0.172896,260,3143,3403,3584.51394444444
26,1,0,12,1,1,0,1,0.321739,0.506957,0.239465,430,887,1317,1729.33933333333
31,1,0,12,0,6,0,1,0.41,0.615833,0.220154,665,1820,2485,2812.75033333333
01,1,1,1,0,0,0,1,0.37,0.6925,0.192167,686,1608,2294,2797.28994444445
03,1,1,1,0,2,1,1,0.15,0.44125,0.365671,89,2147,2236,2311.52333333333
07,1,1,1,0,6,0,1,0.393333,0.531667,0.174758,1070,3451,4521,4428.09383333333
09,1,1,1,0,1,1,2,0.224167,0.701667,0.0989,106,2270,2376,2518.083
15,1,1,1,0,0,0,1,0.166667,0.419167,0.251258,284,2027,2311,2346.33033333333
24,1,1,1,0,2,1,1,0.3425,0.835833,0.123767,439,3900,4339,4190.87527777778
25,1,1,1,0,3,1,1,0.294167,0.64375,0.161071,467,3803,4270,4056.96716666666
02,1,1,2,0,4,1,2,0.399167,0.672917,0.187187,190,3571,3761,3926.01572222222
15,1,1,2,0,3,1,1,0.348333,0.53125,0.1816,141,4028,4169,4201.71294444444
25,1,1,2,0,6,0,1,0.290833,0.395833,0.251251176598012,317,2415,2732,2937.88944444444
02,1,1,3,0,5,1,2,0.353333,0.657083,0.144904,246,2948,3194,3652.1115
05,1,1,3,0,1,1,1,0.243333,0.50625,0.228858,203,3130,3333,3454.53216666667
07,1,1,3,0,3,1,1,0.404167,0.513333,0.345779,432,4484,4916,4866.21683333333
23,2,1,3,0,5,1,2,0.601667,0.694167,0.1163,1145.5578749942,5893,8362,6641.02061111111
29,2,1,3,0,4,1,1,0.494167,0.439167,0.31965,834,5299,6133,5877.99083333333
31,2,1,3,0,6,0,2,0.424167,0.738333,0.250617,1168.53593321852,3934,6235,4995.80866666667
12,2,1,4,0,4,1,1,0.3975,0.46625,0.290429,663,4746,5409,5416.64005555555
18,2,1,4,0,3,1,2,0.463333,0.569167,0.167912,347,4020,4367,4630.90888888889
03,2,1,5,0,4,1,2,0.56,0.768333,0.133696,764,5657,6421,6320.74316666667
13,2,1,5,0,0,0,1,0.6125,0.57625,0.225117,2172,3946,6118,5776.46716666667
15,2,1,5,0,2,1,2,0.611667,0.794583,0.147392,625,4490,5115,5201.34894444445
18,2,1,5,0,5,1,1,0.564167,0.523333,0.136817,1521,6118,7639,7125.77655555556
21,2,1,5,0,1,1,2,0.598333,0.81125,0.233204,630,3729,4359,4528.50272222222
23,2,1,5,0,3,1,2,0.621667,0.774583,0.102,766,4494,5260,5451.67055555556
25,2,1,5,0,5,1,1,0.68,0.747083,0.14055,1417,5317,6734,6469.27194444444
27,2,1,5,0,0,0,1,0.69,0.697083,0.215171,1385.98128976584,3308,6591,5084.59877777778
29,2,1,5,0,2,1,1,0.7225,0.684583,0.2954,880,4863,5743,6003.098
02,2,1,6,0,6,0,1,0.583333,0.549167,0.186562,1625.23202812662,5325,8120,6995.19938888889
04,2,1,6,0,1,1,1,0.5975,0.487083,0.284833,1071,5927,6998,6805.43927777778
07,2,1,6,0,4,1,1,0.6025,0.567083,0.15735,1038,6456,7494,7050.15688888889
08,2,1,6,0,5,1,1,0.649167,0.467917,0.175383,1488,6248,7736,7094.99788888889
10,2,1,6,0,0,0,1,0.726667,0.538333,0.133721,2224,4374,6598,6428.82272222222
13,2,1,6,0,3,1,1,0.655833,0.582083,0.343279,1173,6248,7421,7020.85294444444
14,2,1,6,0,4,1,1,0.648333,0.569583,0.253733,1180,6183,7363,7118.20105555556
23,3,1,6,0,6,0,1,0.731667,0.534583,0.179721,1611.05466855675,4801,7458,7002.70811111111
04,3,1,7,1,3,0,1,0.789167,0.53875,0.13495,1284.25808474309,4841,7403,6377.92694444445
06,3,1,7,0,5,1,1,0.828333,0.450833,0.146142,1366,4841,6207,6330.4195
10,3,1,7,0,2,1,2,0.720833,0.6675,0.151737,954,5336,6290,6243.71661111111
12,3,1,7,0,4,1,1,0.715833,0.529583,0.146775,1032,6414,7446,7128.18033333334
13,3,1,7,0,5,1,2,0.731667,0.485833,0.08085,1511,5988,7499,6974.58331746032
16,3,1,7,0,1,1,1,0.763333,0.645,0.164187,1088,5742,6830,6729.70944444444
18,3,1,7,0,3,1,1,0.793333,0.577083,0.137442,799,4914,5713,5921.1095
25,3,1,7,0,3,1,1,0.724167,0.45,0.1648,1383,6790,8173,7181.53294444444
28,3,1,7,0,6,0,1,0.755833,0.613333,0.15735,2234,4451,6685,6413.1935
31,3,1,7,0,2,1,1,0.713333,0.704167,0.165425,968,6248,7216,6998.815
17,3,1,8,0,5,1,1,0.723333,0.570833,0.231354,1483,5665,7148,7031.40322222222
04,3,1,9,0,2,1,1,0.725833,0.755,0.236321,867,5997,6864,6934.05104040405
06,3,1,9,0,4,1,2,0.696667,0.810417,0.142421,611,5592,6203,6019.62216666667
08,3,1,9,0,6,0,2,0.659167,0.799167,0.281104,1557,4419,5976,6293.58255555556
10,3,1,9,0,1,1,1,0.583333,0.50375,0.258713,1118,6407,7525,7181.88811111111
16,3,1,9,0,0,0,1,0.58,0.57,0.0901833,2166,5167,7333,7132.83333333333
01,4,1,10,0,1,1,2,0.520833,0.649167,0.0908042,763,6015,6778,6652.34927777778
03,4,1,10,0,3,1,2,0.6575,0.79375,0.0665458,728,6844,7572,6706.7645
16,4,1,10,0,2,1,1,0.468333,0.558333,0.182221,922,6612,7534,7212.40114814815
17,4,1,10,0,3,1,1,0.455833,0.692917,0.101371,979,6482,7461,7082.88922222222
19,4,1,10,0,5,1,2,0.563333,0.815,0.134954,753,4671,5424,5696.60677777778
20,4,1,10,0,6,0,1,0.484167,0.572917,0.117537,972.604655887269,5284,8090,6829.61677777778
23,4,1,10,0,2,1,1,0.544167,0.641667,0.0945458,841,6625,7466,7318.83761111111
28,4,1,10,0,0,0,2,0.4775,0.694583,0.197665952912452,998,3461,4459,4831.10066666667
30,4,1,10,0,2,1,2,0.318182,0.825455,0.213009,87,1009,1096,2197.54838888889
11,4,1,11,0,0,0,1,0.420833,0.659167,0.1275,1516.33228501097,4562,6852,5943.20733333333
14,4,1,11,0,3,1,1,0.289167,0.552083,0.199625,373,5122,5495,5310.113
15,4,1,11,0,4,1,2,0.321667,0.620417,0.152987,320,5125,5445,5184.78183333334
16,4,1,11,0,5,1,1,0.345,0.524583,0.171025,484,5214,5698,5344.20338888889
19,4,1,11,0,1,1,2,0.380833,0.623333,0.235067,449,5050,5499,5342.08211111111
23,4,1,11,0,5,1,1,0.368333,0.56875,0.148021,1603,2307,3910,3961.90627777778
25,4,1,11,0,0,0,1,0.245833,0.468333,0.1505,309,2115,2424,2793.18822222222
26,4,1,11,0,1,1,1,0.313333,0.535417,0.04665,337,4750,5087,5070.25261111111
28,4,1,11,0,3,1,1,0.296667,0.50625,0.210821,198,5062,5260,4966.91375396825
29,4,1,11,0,4,1,1,0.28087,0.555652,0.115522,243,5080,5323,4953.38153174603
30,4,1,11,0,5,1,1,0.298333,0.649583,0.0584708,362,5306,5668,5386.65333333333
02,4,1,12,0,0,0,2,0.3475,0.823333,0.124379,892,3757,4649,4595.17027777778
10,4,1,12,0,1,1,2,0.435833,0.925,0.190308,329,4841,5170,5070.53105555555
11,4,1,12,0,2,1,2,0.353333,0.596667,0.296037,282,5219,5501,4967.14108730159
16,4,1,12,0,0,0,2,0.3625,0.83875,0.100742,538,3248,3786,3978.24122222222
